timestamp,lot_id,spot_type,base_price,dynamic_price,demand_level,occupancy_rate,bookings_last_hour,competitor_avg_price,day_of_week,hour,revenue_generated,booking_conversion_rate,time_until_full
2025-01-01 00:00:00,1,car,45.0,45.0,High,68.61,15,43.34,2,0,675.0,0.25,62
2025-01-01 00:00:00,1,bike,13.5,13.5,High,68.61,15,13.11,2,0,202.5,0.25,62
2025-01-01 00:00:00,1,large,67.5,67.5,High,68.61,15,66.23,2,0,1012.5,0.25,62
2025-01-01 00:00:00,2,car,60.0,48.0,Low,5.0,1,65.42,2,0,48.0,0.312,190
2025-01-01 00:00:00,2,bike,18.0,14.4,Low,5.0,1,17.13,2,0,14.4,0.312,190
2025-01-01 00:00:00,2,large,90.0,72.0,Low,5.0,1,89.87,2,0,72.0,0.312,190
2025-01-01 00:00:00,3,car,25.0,25.0,Medium,40.33,4,27.26,2,0,100.0,0.25,119
2025-01-01 00:00:00,3,bike,7.5,7.5,Medium,40.33,4,7.46,2,0,30.0,0.25,119
2025-01-01 00:00:00,3,large,37.5,37.5,Medium,40.33,4,40.23,2,0,150.0,0.25,119
2025-01-01 00:00:00,4,car,35.0,35.0,Medium,57.15,25,31.91,2,0,875.0,0.25,85
2025-01-01 00:00:00,4,bike,10.5,10.5,Medium,57.15,25,11.45,2,0,262.5,0.25,85
2025-01-01 00:00:00,4,large,52.5,52.5,Medium,57.15,25,49.22,2,0,1312.5,0.25,85
2025-01-01 00:00:00,5,car,50.0,40.0,Low,5.0,0,54.8,2,0,0.0,0.312,190
2025-01-01 00:00:00,5,bike,15.0,12.0,Low,5.0,0,14.03,2,0,0.0,0.312,190
2025-01-01 00:00:00,5,large,75.0,60.0,Low,5.0,0,74.17,2,0,0.0,0.312,190
2025-01-01 06:00:00,1,car,45.0,45.0,Medium,64.88,14,43.28,2,6,630.0,0.25,70
2025-01-01 06:00:00,1,bike,13.5,13.5,Medium,64.88,14,13.32,2,6,189.0,0.25,70
2025-01-01 06:00:00,1,large,67.5,67.5,Medium,64.88,14,64.13,2,6,945.0,0.25,70
2025-01-01 06:00:00,2,car,60.0,72.0,High,82.97,23,65.58,2,6,1656.0,0.208,34
2025-01-01 06:00:00,2,bike,18.0,21.6,High,82.97,23,17.3,2,6,496.8,0.208,34
2025-01-01 06:00:00,2,large,90.0,108.0,High,82.97,23,92.76,2,6,2484.0,0.208,34
2025-01-01 06:00:00,3,car,25.0,25.0,Medium,44.13,5,23.19,2,6,125.0,0.25,111
2025-01-01 06:00:00,3,bike,7.5,7.5,Medium,44.13,5,7.99,2,6,37.5,0.25,111
2025-01-01 06:00:00,3,large,37.5,37.5,Medium,44.13,5,37.82,2,6,187.5,0.25,111
2025-01-01 06:00:00,4,car,35.0,52.5,Critical,98.0,37,38.36,2,6,1942.5,0.167,4
2025-01-01 06:00:00,4,bike,10.5,15.75,Critical,98.0,37,10.34,2,6,582.75,0.167,4
2025-01-01 06:00:00,4,large,52.5,78.75,Critical,98.0,37,49.3,2,6,2913.75,0.167,4
2025-01-01 06:00:00,5,car,50.0,60.0,High,75.21,12,48.46,2,6,720.0,0.208,49
2025-01-01 06:00:00,5,bike,15.0,18.0,High,75.21,12,15.71,2,6,216.0,0.208,49
2025-01-01 06:00:00,5,large,75.0,90.0,High,75.21,12,77.39,2,6,1080.0,0.208,49
2025-01-01 12:00:00,1,car,45.0,45.0,Medium,50.82,11,47.51,2,12,495.0,0.25,98
