user_id,booking_id,lot_id,spot_type,location,distance_from_destination,price_per_hour,duration_hours,time_of_booking,time_of_arrival,preferred_time_slot,booking_frequency,avg_duration,price_sensitivity,location_consistency,advance_booking_time,cancellation_history
1,1,1,car,Downtown Mall,828,45.0,7.12,2025-05-31 05:00:00,2025-06-02 03:00:00,Night,119,8,low,0.4,46,5
1,2,5,car,Hospital Complex,1314,50.0,6.97,2025-03-28 04:00:00,2025-03-28 18:00:00,Evening,119,8,low,0.4,14,1
1,3,5,car,Hospital Complex,938,50.0,5.51,2025-03-15 15:00:00,2025-03-16 08:00:00,Morning,119,8,low,0.4,17,1
1,4,3,car,Residential Area,958,25.0,6.45,2025-04-10 11:00:00,2025-04-11 05:00:00,Night,119,8,low,0.4,18,2
1,5,3,car,Residential Area,164,25.0,11.2,2025-01-07 23:00:00,2025-01-09 07:00:00,Morning,119,8,low,0.4,32,4
1,6,5,car,Hospital Complex,1137,50.0,11.89,2025-03-26 05:00:00,2025-03-27 08:00:00,Morning,119,8,low,0.4,27,6
1,7,3,car,Residential Area,211,25.0,3.45,2025-06-26 09:00:00,2025-06-27 08:00:00,Morning,119,8,low,0.4,23,9
1,8,4,car,Transit Hub,1069,35.0,11.17,2025-05-09 03:00:00,2025-05-10 06:00:00,Morning,119,8,low,0.4,27,9
1,9,5,car,Hospital Complex,991,50.0,7.58,2025-01-25 15:00:00,2025-01-26 19:00:00,Evening,119,8,low,0.4,28,4
1,10,5,car,Hospital Complex,373,50.0,7.34,2025-04-10 11:00:00,2025-04-12 09:00:00,Morning,119,8,low,0.4,46,1
1,11,5,car,Hospital Complex,1358,50.0,9.54,2025-03-07 11:00:00,2025-03-08 18:00:00,Evening,119,8,low,0.4,31,6
1,12,5,car,Hospital Complex,837,50.0,9.44,2025-01-19 09:00:00,2025-01-20 09:00:00,Morning,119,8,low,0.4,24,7
1,13,5,car,Hospital Complex,1227,50.0,8.54,2025-03-10 08:00:00,2025-03-11 18:00:00,Evening,119,8,low,0.4,34,4
1,14,5,car,Hospital Complex,94,50.0,9.14,2025-02-23 07:00:00,2025-02-24 13:00:00,Afternoon,119,8,low,0.4,30,10
1,15,3,car,Residential Area,1291,25.0,11.74,2025-03-24 03:00:00,2025-03-24 18:00:00,Evening,119,8,low,0.4,15,11
1,16,5,car,Hospital Complex,498,50.0,10.4,2025-02-03 22:00:00,2025-02-05 08:00:00,Morning,119,8,low,0.4,34,10
1,17,5,car,Hospital Complex,1336,50.0,7.21,2025-04-08 23:00:00,2025-04-09 19:00:00,Evening,119,8,low,0.4,20,1
1,18,5,car,Hospital Complex,682,50.0,11.14,2025-03-23 18:00:00,2025-03-24 08:00:00,Morning,119,8,low,0.4,14,7
1,19,5,car,Hospital Complex,234,50.0,9.28,2025-03-15 23:00:00,2025-03-16 19:00:00,Evening,119,8,low,0.4,20,4
1,20,5,car,Hospital Complex,320,50.0,7.34,2025-03-13 08:00:00,2025-03-14 08:00:00,Morning,119,8,low,0.4,24,8
1,21,1,car,Downtown Mall,1137,45.0,6.17,2025-01-06 06:00:00,2025-01-07 17:00:00,Evening,119,8,low,0.4,35,8
