timestamp,lot_id,day_of_week,hour,is_weekend,is_holiday,weather_condition,temperature,total_spots,occupied_spots,occupancy_rate,nearby_event,month,is_rush_hour
2025-01-01 00:00:00,1,2,0,0,1,Rain,13.0,150,102,68.61,0,1,0
2025-01-01 00:00:00,2,2,0,0,1,Rain,13.0,200,10,5.0,0,1,0
2025-01-01 00:00:00,3,2,0,0,1,Rain,13.0,80,32,40.33,0,1,0
2025-01-01 00:00:00,4,2,0,0,1,Rain,13.0,300,171,57.15,0,1,0
2025-01-01 00:00:00,5,2,0,0,1,Rain,13.0,120,6,5.0,0,1,0
2025-01-01 01:00:00,1,2,1,0,1,Cloudy,18.0,150,127,84.79,0,1,0
2025-01-01 01:00:00,2,2,1,0,1,Cloudy,18.0,200,74,37.29,0,1,0
2025-01-01 01:00:00,3,2,1,0,1,Cloudy,18.0,80,34,42.87,0,1,0
2025-01-01 01:00:00,4,2,1,0,1,Cloudy,18.0,300,15,5.0,0,1,0
2025-01-01 01:00:00,5,2,1,0,1,Cloudy,18.0,120,68,57.25,0,1,0
2025-01-01 02:00:00,1,2,2,0,1,Cloudy,17.6,150,54,36.14,0,1,0
2025-01-01 02:00:00,2,2,2,0,1,Cloudy,17.6,200,77,38.75,0,1,0
2025-01-01 02:00:00,3,2,2,0,1,Cloudy,17.6,80,11,14.74,0,1,0
2025-01-01 02:00:00,4,2,2,0,1,Cloudy,17.6,300,72,24.02,0,1,0
2025-01-01 02:00:00,5,2,2,0,1,Cloudy,17.6,120,28,23.53,0,1,0
2025-01-01 03:00:00,1,2,3,0,1,Rain,19.2,150,69,46.02,0,1,0
2025-01-01 03:00:00,2,2,3,0,1,Rain,19.2,200,10,5.0,0,1,0
2025-01-01 03:00:00,3,2,3,0,1,Rain,19.2,80,62,78.36,0,1,0
2025-01-01 03:00:00,4,2,3,0,1,Rain,19.2,300,54,18.16,0,1,0
2025-01-01 03:00:00,5,2,3,0,1,Rain,19.2,120,28,23.35,0,1,0
2025-01-01 04:00:00,1,2,4,0,1,Cloudy,14.1,150,85,56.79,0,1,0
2025-01-01 04:00:00,2,2,4,0,1,Cloudy,14.1,200,10,5.0,0,1,0
2025-01-01 04:00:00,3,2,4,0,1,Cloudy,14.1,80,12,16.25,0,1,0
2025-01-01 04:00:00,4,2,4,0,1,Cloudy,14.1,300,212,70.94,0,1,0
2025-01-01 04:00:00,5,2,4,0,1,Cloudy,14.1,120,38,31.71,0,1,0
2025-01-01 05:00:00,1,2,5,0,1,Clear,16.6,150,30,20.29,0,1,0
2025-01-01 05:00:00,2,2,5,0,1,Clear,16.6,200,74,37.28,0,1,0
2025-01-01 05:00:00,3,2,5,0,1,Clear,16.6,80,45,56.29,0,1,0
2025-01-01 05:00:00,4,2,5,0,1,Clear,16.6,300,271,90.52,0,1,0
2025-01-01 05:00:00,5,2,5,0,1,Clear,16.6,120,80,67.28,0,1,0
2025-01-01 06:00:00,1,2,6,0,1,Snow,11.1,150,97,64.88,0,1,0
2025-01-01 06:00:00,2,2,6,0,1,Snow,11.1,200,165,82.97,0,1,0
2025-01-01 06:00:00,3,2,6,0,1,Snow,11.1,80,35,44.13,0,1,0
2025-01-01 06:00:00,4,2,6,0,1,Snow,11.1,300,294,98.0,0,1,0
2025-01-01 06:00:00,5,2,6,0,1,Snow,11.1,120,90,75.21,0,1,0
2025-01-01 07:00:00,1,2,7,0,1,Clear,11.6,150,7,5.0,0,1,1
2025-01-01 07:00:00,2,2,7,0,1,Clear,11.6,200,103,51.76,0,1,1
2025-01-01 07:00:00,3,2,7,0,1,Clear,11.6,80,58,72.54,0,1,1
2025-01-01 07:00:00,4,2,7,0,1,Clear,11.6,300,294,98.0,0,1,1
2025-01-01 07:00:00,5,2,7,0,1,Clear,11.6,120,49,40.85,0,1,1
2025-01-01 08:00:00,1,2,8,0,1,Clear,14.3,150,7,5.0,0,1,1
2025-01-01 08:00:00,2,2,8,0,1,Clear,14.3,200,114,57.11,0,1,1
2025-01-01 08:00:00,3,2,8,0,1,Clear,14.3,80,26,33.0,0,1,1
2025-01-01 08:00:00,4,2,8,0,1,Clear,14.3,300,196,65.48,0,1,1
2025-01-01 08:00:00,5,2,8,0,1,Clear,14.3,120,6,5.0,0,1,1
2025-01-01 09:00:00,1,2,9,0,1,Clear,8.6,150,55,36.77,0,1,1
2025-01-01 09:00:00,2,2,9,0,1,Clear,8.6,200,135,67.66,0,1,1
2025-01-01 09:00:00,3,2,9,0,1,Clear,8.6,80,4,5.0,0,1,1
2025-01-01 09:00:00,4,2,9,0,1,Clear,8.6,300,160,53.45,0,1,1
2025-01-01 09:00:00,5,2,9,0,1,Clear,8.6,120,29,24.22,0,1,1
2025-01-01 10:00:00,1,2,10,0,1,Snow,12.1,150,36,24.11,0,1,0
2025-01-01 10:00:00,2,2,10,0,1,Snow,12.1,200,142,71.1,0,1,0
2025-01-01 10:00:00,3,2,10,0,1,Snow,12.1,80,12,15.99,0,1,0
2025-01-01 10:00:00,4,2,10,0,1,Snow,12.1,300,86,28.93,0,1,0
2025-01-01 10:00:00,5,2,10,0,1,Snow,12.1,120,72,60.7,0,1,0
2025-01-01 11:00:00,1,2,11,0,1,Clear,10.5,150,19,13.12,0,1,0
2025-01-01 11:00:00,2,2,11,0,1,Clear,10.5,200,191,95.92,0,1,0
2025-01-01 11:00:00,3,2,11,0,1,Clear,10.5,80,19,24.28,0,1,0
2025-01-01 11:00:00,4,2,11,0,1,Clear,10.5,300,64,21.51,0,1,0
2025-01-01 11:00:00,5,2,11,0,1,Clear,10.5,120,67,56.05,0,1,0
2025-01-01 12:00:00,1,2,12,0,1,Snow,18.8,150,76,50.82,0,1,0
2025-01-01 12:00:00,2,2,12,0,1,Snow,18.8,200,105,52.98,0,1,0
2025-01-01 12:00:00,3,2,12,0,1,Snow,18.8,80,35,44.6,0,1,0
2025-01-01 12:00:00,4,2,12,0,1,Snow,18.8,300,203,67.69,0,1,0
2025-01-01 12:00:00,5,2,12,0,1,Snow,18.8,120,60,50.11,0,1,0
2025-01-01 13:00:00,1,2,13,0,1,Clear,12.3,150,42,28.5,0,1,0
2025-01-01 13:00:00,2,2,13,0,1,Clear,12.3,200,17,8.92,0,1,0
2025-01-01 13:00:00,3,2,13,0,1,Clear,12.3,80,46,57.57,0,1,0
2025-01-01 13:00:00,4,2,13,0,1,Clear,12.3,300,240,80.12,0,1,0
2025-01-01 13:00:00,5,2,13,0,1,Clear,12.3,120,53,44.47,0,1,0
2025-01-01 14:00:00,1,2,14,0,1,Clear,8.8,150,85,57.31,0,1,0
2025-01-01 14:00:00,2,2,14,0,1,Clear,8.8,200,109,54.58,0,1,0
2025-01-01 14:00:00,3,2,14,0,1,Clear,8.8,80,78,98.0,0,1,0
2025-01-01 14:00:00,4,2,14,0,1,Clear,8.8,300,200,66.99,0,1,0
2025-01-01 14:00:00,5,2,14,0,1,Clear,8.8,120,57,47.5,0,1,0
2025-01-01 15:00:00,1,2,15,0,1,Clear,8.6,150,22,15.11,0,1,0
2025-01-01 15:00:00,2,2,15,0,1,Clear,8.6,200,55,27.89,0,1,0
2025-01-01 15:00:00,3,2,15,0,1,Clear,8.6,80,4,5.0,0,1,0
2025-01-01 15:00:00,4,2,15,0,1,Clear,8.6,300,68,22.84,0,1,0
2025-01-01 15:00:00,5,2,15,0,1,Clear,8.6,120,28,23.66,0,1,0
2025-01-01 16:00:00,1,2,16,0,1,Clear,18.4,150,121,81.18,0,1,0
2025-01-01 16:00:00,2,2,16,0,1,Clear,18.4,200,137,68.84,0,1,0
