timestamp,lot_id,day_of_week,hour,is_weekend,is_holiday,weather_condition,temperature,total_spots,occupied_spots,occupancy_rate,nearby_event,month,is_rush_hour,week_of_year,spots_available,new_bookings_this_hour,bookings_ending_this_hour,avg_duration_this_hour,rolling_avg_7days,rolling_avg_30days,peak_occupancy_next_3hrs,seasonal_index,trend_component,special_event_flag
2025-01-01 00:00:00,1,2,0,0,1,Rain,13.0,150,102,68.61,0,1,0,1,48,13,11,2.72,68.61,68.61,84.79,1.1,1.0,0
2025-01-01 00:00:00,2,2,0,0,1,Rain,13.0,200,10,5.0,0,1,0,1,190,1,1,2.13,5.0,5.0,38.75,1.1,1.0001,0
2025-01-01 00:00:00,3,2,0,0,1,Rain,13.0,80,32,40.33,0,1,0,1,48,5,5,3.07,40.33,40.33,78.36,1.1,1.0002,0
2025-01-01 00:00:00,4,2,0,0,1,Rain,13.0,300,171,57.15,0,1,0,1,129,17,29,4.41,57.15,57.15,24.02,1.1,1.0003,0
2025-01-01 00:00:00,5,2,0,0,1,Rain,13.0,120,6,5.0,0,1,0,1,114,1,0,2.35,5.0,5.0,57.25,1.1,1.0004,0
2025-01-01 01:00:00,1,2,1,0,1,Cloudy,18.0,150,127,84.79,0,1,0,1,23,21,14,2.0,76.7,76.7,56.79,1.1,1.0005,0
2025-01-01 01:00:00,2,2,1,0,1,Cloudy,18.0,200,74,37.29,0,1,0,1,126,13,13,3.51,21.14,21.14,38.75,1.1,1.0006,0
2025-01-01 01:00:00,3,2,1,0,1,Cloudy,18.0,80,34,42.87,0,1,0,1,46,6,5,3.81,41.6,41.6,78.36,1.1,1.0007,0
2025-01-01 01:00:00,4,2,1,0,1,Cloudy,18.0,300,15,5.0,0,1,0,1,285,1,1,2.67,31.08,31.08,70.94,1.1,1.0008,0
2025-01-01 01:00:00,5,2,1,0,1,Cloudy,18.0,120,68,57.25,0,1,0,1,52,8,7,3.04,31.12,31.12,31.71,1.1,1.0009,0
2025-01-01 02:00:00,1,2,2,0,1,Cloudy,17.6,150,54,36.14,0,1,0,1,96,10,8,3.61,63.18,63.18,56.79,1.1,1.001,0
2025-01-01 02:00:00,2,2,2,0,1,Cloudy,17.6,200,77,38.75,0,1,0,1,123,14,13,1.76,27.01,27.01,37.28,1.1,1.0011,0
2025-01-01 02:00:00,3,2,2,0,1,Cloudy,17.6,80,11,14.74,0,1,0,1,69,2,1,2.01,32.65,32.65,78.36,1.1,1.0012,0
2025-01-01 02:00:00,4,2,2,0,1,Cloudy,17.6,300,72,24.02,0,1,0,1,228,7,9,2.59,28.72,28.72,90.52,1.1,1.0013,0
2025-01-01 02:00:00,5,2,2,0,1,Cloudy,17.6,120,28,23.53,0,1,0,1,92,4,2,2.69,28.59,28.59,67.28,1.1,1.0014,0
2025-01-01 03:00:00,1,2,3,0,1,Rain,19.2,150,69,46.02,0,1,0,1,81,7,5,1.89,58.89,58.89,64.88,1.1,1.0015,0
2025-01-01 03:00:00,2,2,3,0,1,Rain,19.2,200,10,5.0,0,1,0,1,190,1,1,4.22,21.51,21.51,82.97,1.1,1.0016,0
2025-01-01 03:00:00,3,2,3,0,1,Rain,19.2,80,62,78.36,0,1,0,1,18,8,11,2.2,44.08,44.08,56.29,1.1,1.0017,0
